,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nba.g.2024020626,2024-02-06-10:00,Oklahoma City,Utah,"-2.5, O/U 237.5",237.5,80.28,82.81,-110,1.910,True,237.5,19.73,17.19,-110,1.910,False,-155,1.650,91.07,80.75,False,125,2.250,8.95,19.25,True,-2.5,-115,1.870,49.87,62.82,False,2.5,-105,1.950,50.13,37.18,True
0,nba.g.2024020702,2024-02-07-10:00,Atlanta,Boston,"-11.5, O/U 244.5",244.5,73.64,70.92,-105,1.950,False,244.5,26.36,29.08,-115,1.870,True,500,6.000,17.46,5.33,False,-700,1.140,82.53,94.67,True,11.5,-105,1.950,59.82,61.16,True,-11.5,-115,1.870,40.18,38.84,False
0,nba.g.2024020712,2024-02-07-10:00,New Orleans,LA Clippers,"-5.5, O/U 234.5",234.5,83.63,81.48,-110,1.910,False,234.5,16.38,18.52,-110,1.910,True,180,2.800,2.64,7.1,True,-225,1.450,97.35,92.9,False,5.5,-115,1.870,46.07,38.86,True,-5.5,-105,1.950,53.93,61.14,False
0,nba.g.2024020714,2024-02-07-10:00,San Antonio,Miami,"-7.5, O/U 228.5",228.5,80.34,80.34,-105,1.950,False,228.5,19.65,19.66,-115,1.870,True,280,3.800,2.9,5.58,False,-350,1.280,97.11,94.42,True,7.5,-105,1.950,37.86,33.5,False,-7.5,-115,1.870,62.14,66.5,True
0,nba.g.2024020720,2024-02-07-10:00,Golden State,Philadelphia,"-2.5, O/U 236.5",236.5,76.3,75.52,-105,1.950,False,236.5,23.7,24.48,-115,1.870,True,-155,1.650,89.08,77.32,True,125,2.250,10.92,22.68,False,-2.5,-115,1.870,73.52,72.58,True,2.5,-105,1.950,26.48,27.42,False
0,nba.g.2024020723,2024-02-07-10:00,Detroit,Sacramento,"-13.5, O/U 238.5",238.5,75.07,76.73,-110,1.910,True,238.5,24.93,23.27,-110,1.910,False,625,7.250,9.29,3.58,True,-1000,1.100,90.72,96.42,False,13.5,-115,1.870,32.2,45.15,True,-13.5,-105,1.950,67.8,54.85,False
0,nba.g.2024020727,2024-02-07-10:00,Cleveland,Washington,"-11.5, O/U 234.5",234.5,73.78,71.88,-110,1.910,False,234.5,26.21,28.12,-110,1.910,True,-700,1.140,89.24,98.47,True,500,6.000,10.76,1.53,False,-11.5,-110,1.910,73.6,69.35,False,11.5,-110,1.910,26.4,30.65,True
0,nba.g.2024020730,2024-02-07-10:00,Toronto,Charlotte,"-7.5, O/U 227.5",227.5,83.89,84.13,-110,1.910,True,227.5,16.12,15.87,-110,1.910,False,-275,1.360,59.24,88.17,True,220,3.200,40.76,11.83,False,-7.5,-105,1.950,49.59,48.64,False,7.5,-115,1.870,50.41,51.36,True
0,nba.g.2024020811,2024-02-08-10:00,Golden State,Indiana,"-5.5, O/U 248.5",248.5,62.0,60.86,-110,1.910,False,248.5,37.98,39.14,-110,1.910,True,170,2.700,72.87,18.35,True,-210,1.480,27.13,81.65,False,5.5,-110,1.910,76.37,77.5,True,-5.5,-110,1.910,23.63,22.5,False
0,nba.g.2024020813,2024-02-08-10:00,Denver,LA Lakers,"-2.5, O/U 233.5",233.5,90.3,90.12,-105,1.950,False,233.5,9.7,9.88,-115,1.870,True,-150,1.670,79.88,70.04,True,125,2.250,20.13,29.96,False,-2.5,-115,1.870,47.23,49.18,True,2.5,-105,1.950,52.77,50.82,False
